,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7959595959595959,0.7622895622895622,0.7925925925925926,0.7939393939393941,0.7589225589225589,0.7952861952861953,,0.7481481481481481,0.7676767676767676,0.7508417508417509
FOLD 2,0.7523341523341524,0.7665847665847666,0.7896805896805896,0.7444717444717445,0.7611793611793611,0.7886977886977887,,0.7832923832923833,0.7842751842751843,0.7832923832923833
FOLD 3,0.7759213759213759,0.7695331695331695,0.7882063882063882,0.7371007371007371,0.7572481572481572,0.7877149877149877,,0.7759213759213759,0.7764127764127764,0.7759213759213759
FOLD 4,0.7568762278978389,0.7814341846758349,0.7883104125736738,0.756385068762279,0.7612966601178782,0.7328094302554028,,0.7858546168958742,0.7858546168958742,0.7858546168958742
FOLD 5,0.7554027504911591,0.7809430255402751,0.7843811394891945,0.7578585461689588,0.7897838899803536,0.7892927308447937,,0.7745579567779961,0.787328094302554,0.7873280943025541
FOLD 6,0.7573673870333988,0.7809430255402751,0.7892927308447937,0.7578585461689588,0.7588408644400786,0.7863457760314342,,0.7873280943025541,0.787328094302554,0.7873280943025541
FOLD 7,0.7558939096267191,0.7770137524557956,0.7897838899803536,0.7578585461689588,0.7902750491159135,0.7843811394891945,,0.7868369351669942,0.7868369351669942,0.7868369351669942
FOLD 8,0.7554027504911591,0.7794695481335953,0.7897838899803536,0.7608055009823183,0.7858546168958742,0.7824165029469549,,0.7838899803536346,0.7853634577603144,0.7838899803536346
FOLD 9,0.7569955817378498,0.7825233186057928,0.7839960726558665,0.7614138438880707,0.7884143348060874,0.780559646539028,,0.7844869906725577,0.7859597447226313,0.7844869906725577
FOLD 10,0.7569955817378498,0.7825233186057928,0.7839960726558665,0.7614138438880707,0.7884143348060874,0.780559646539028,,0.7844869906725577,0.7859597447226313,0.7844869906725577
MEAN,0.7619149313231098,0.7763257671964859,0.7880023778659673,0.758910577153949,0.7740229827512349,0.7808063844344808,,0.7794803472204076,0.7832995416238282,0.7810267212422237
