,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.6161290322580645,0.6612903225806451,0.6290322580645161,0.6193548387096774,0.667741935483871,0.5709677419354838,0.5903225806451613,0.5838709677419355,0.5419354838709678,0.6548387096774193
FOLD 2,0.6290322580645161,0.667741935483871,0.6322580645161291,0.6516129032258065,0.7,0.5903225806451613,0.6387096774193548,0.5741935483870968,0.6548387096774193,0.6322580645161291
FOLD 3,0.6064516129032258,0.6225806451612903,0.6580645161290323,0.6774193548387096,0.7,0.5967741935483871,0.6548387096774193,0.5935483870967742,0.5129032258064516,0.532258064516129
FOLD 4,0.6258064516129033,0.6516129032258065,0.6290322580645161,0.6870967741935484,0.7451612903225806,0.6129032258064516,0.6709677419354839,0.6354838709677421,0.5774193548387097,0.5774193548387097
FOLD 5,0.6354838709677421,0.5774193548387097,0.6,0.6709677419354839,0.6741935483870968,0.603225806451613,0.6419354838709678,0.5774193548387097,0.5548387096774193,0.567741935483871
FOLD 6,0.6237942122186495,0.639871382636656,0.6527331189710611,0.6591639871382636,0.6945337620578779,0.6495176848874598,0.6077170418006431,0.617363344051447,0.6077170418006431,0.5755627009646302
FOLD 7,0.6237942122186495,0.6463022508038585,0.6655948553054662,0.6752411575562701,0.7234726688102894,0.6302250803858521,0.6430868167202572,0.5980707395498392,0.5659163987138264,0.6012861736334405
FOLD 8,0.6270096463022508,0.6334405144694534,0.6591639871382636,0.6816720257234726,0.6945337620578779,0.6109324758842444,0.6559485530546624,0.6334405144694534,0.5755627009646302,0.5434083601286174
FOLD 9,0.6366559485530546,0.6334405144694534,0.6848874598070739,0.6816720257234726,0.6688102893890675,0.6077170418006431,0.6270096463022508,0.6109324758842444,0.5562700964630225,0.5627009646302251
FOLD 10,0.6077170418006431,0.6045016077170418,0.6559485530546624,0.6559485530546624,0.6752411575562701,0.6270096463022508,0.6334405144694534,0.5691318327974276,0.5691318327974276,0.5787781350482315
MEAN,0.62318742868997,0.6338201431386785,0.646671507105072,0.6660149362099367,0.6943688414064931,0.6099595477647547,0.6363976765895654,0.599345503578467,0.5716533554610518,0.5826252463437402
